date_wind,wind_speed,wind_dir_cos,wind_dir_sin,air_den,y_true,y_pred
226,0.090507726,-0.883877473,0.467718518,1.214,13135.637,13166.858
227,0.090507726,-0.787695942,-0.616064204,1.151,12456.82,12477.029
228,0.090507726,-0.022096619,-0.99975584,1.167,12631.828,12613.216
229,0.090507726,-0.283633279,-0.958932825,1.208,13076.728,13073.505
230,0.136865342,-0.787695942,-0.616064204,1.144,42827.536,43348.76
231,0.090507726,0.562428927,0.826845634,1.223,13241.325,13190.694
232,0.112582781,0.903705112,-0.428155428,1.131,23565.951,23609.947
233,0.057395143,-0.022096619,-0.99975584,1.172,3236.002,3227.4407
234,0.14790287,0.75966831,0.65031074,1.184,55924.985,56284.81
235,0,-0.445154962,0.89545355,1.254,0,0
236,0.046357616,-0.95241298,-0.304810621,1.174,1707.41,1725.1321
237,0.079470199,-0.883877473,0.467718518,1.183,8664.741,8655.863
238,0.046357616,-0.283691091,0.958915723,1.221,1775.194,1788.0695
239,0.046357616,0.984381951,-0.176045946,1.115,1621.677,1631.6249
240,0.057395143,-0.36729133,-0.93010595,1.239,3419.343,3416.2532
241,0.033112583,-0.598460069,-0.801152636,1.147,608.133,624.1157
242,0.112582781,-0.110387244,-0.993888654,1.223,25478.315,25626.832
243,0.068432671,0.903705112,-0.428155428,1.152,5387.603,5354.2236
244,0.079470199,0.75966831,0.65031074,1.164,8525.424,8480.8125
245,0.112582781,0.903705112,-0.428155428,1.151,23986.788,24026.6
246,0.079470199,-0.283691091,0.958915723,1.132,8293.311,8276.968
247,0.057395143,0.240988305,-0.97052802,1.116,3080.383,3071.09
248,0.125827815,0.903705112,-0.428155428,1.204,35012.626,35202.348
249,0.068432671,-0.839071529,-0.544021111,1.274,5962.68,5947.32
250,0.046357616,-0.525347639,0.850887689,1.196,1738.892,1753.6335
251,0,-0.445154962,0.89545355,1.202,0,0
252,0.068432671,-0.448073616,0.893996664,1.15,5379.203,5392.7036
253,0.046357616,-0.022096619,-0.99975584,1.183,1721.22,1735.2015
254,0.033112583,0.699250806,-0.71487643,1.151,609.864,617.58386
255,0.033112583,0.066306858,0.997799279,1.206,639.464,648.948
256,0.046357616,-0.730194157,0.683239704,1.228,1785.35,1800.6525
257,0,-0.445154962,0.89545355,1.229,0,0
258,0.079470199,-0.448073616,0.893996664,1.297,9503.282,9469.945
259,0.033112583,0.633319203,0.773890682,1.171,620.456,627.46234
260,0,-0.445154962,0.89545355,1.246,0,0
261,0.090507726,-0.991198822,-0.132381629,1.169,12651.679,12682.765
262,0,-0.445154962,0.89545355,1.17,0,0
263,0.057395143,0.633319203,0.773890682,1.165,3214.85,3216.6917
264,0,-0.445154962,0.89545355,1.167,0,0
265,0.033112583,-0.991198822,-0.132381629,1.223,648.372,669.6698
266,0.068432671,0.75966831,0.65031074,1.197,5602.655,5584.9653
267,0.066225166,0.487187675,-0.873297297,1.211,5134.349,5134.357
268,0.090507726,0.562428927,0.826845634,1.178,12747.967,12700.028
269,0,-0.445154962,0.89545355,1.208,0,0
270,0.112582781,-0.991198822,-0.132381629,1.184,24673.018,24772.906
271,0.033112583,0.408082062,0.912945251,1.24,657.395,666.1888
272,0,-0.445154962,0.89545355,1.254,0,0
273,0,-0.445154962,0.89545355,1.236,0,0
274,0.090507726,-0.92173958,-0.387809421,1.115,12067.727,12090.902
275,0.068432671,-0.283691091,0.958915723,1.218,5700.846,5705.9814
276,0,-0.445154962,0.89545355,1.196,0,0
277,0.033112583,-0.525347639,0.850887689,1.243,659.064,675.8658
278,0.057395143,-0.283691091,0.958915723,1.219,3366.086,3382.0237
279,0.057395143,-0.283691091,0.958915723,1.191,3286.819,3306.088
280,0.046357616,-0.448073616,0.893996664,1.15,1672.761,1687.2194
281,0.090507726,0.964966028,-0.262374854,1.189,12872.987,12801.481
282,0.090507726,-0.787695942,-0.616064204,1.188,12858.167,12880.464
283,0.112582781,0.75966831,0.65031074,1.144,23833.282,23784.92
284,0,-0.445154962,0.89545355,1.307,0,0
285,0.068432671,0.75966831,0.65031074,1.252,5858.436,5839.6895
286,0.068432671,-0.448073616,0.893996664,1.152,5387.772,5401.9663
287,0,-0.445154962,0.89545355,1.183,0,0
288,0.022075055,-0.92173958,-0.387809421,1.27,199.437,0
289,0.076600442,0.15425145,-0.988031624,1.133,7431.923,7339.164
290,0.068432671,0.562428927,0.826845634,1.185,5544.152,5536.053
291,0.046357616,0.487187675,-0.873297297,1.242,1806.725,1817.3356
292,0.090507726,0.15425145,-0.988031624,1.216,13167.033,13138.492
293,0.057395143,0.066306858,0.997799279,1.153,3181.907,3197.073
294,0.079470199,-0.991198822,-0.132381629,1.169,8564.412,8555.447
295,0.033112583,0.066306858,0.997799279,1.16,615.015,621.94464
296,0.068432671,-0.730194157,0.683239704,1.161,5432.612,5444.6616
297,0.057395143,-0.666938062,0.74511316,1.231,3397.952,3419.1401
298,0.066225166,0.408082062,0.912945251,1.178,4994.568,5015.746
299,0.046357616,-0.448073616,0.893996664,1.198,1742.719,1756.0569
300,0.033112583,-0.448073616,0.893996664,1.159,614.384,625.83594
301,0.046357616,0.240988305,-0.97052802,1.155,1679.691,1693.7955
302,0.090507726,-0.883877473,0.467718518,1.203,13016.37,13046.918
303,0,-0.445154962,0.89545355,1.158,0,0
304,0.046357616,0.75966831,0.65031074,1.205,1752.384,1760.1407
305,0.112582781,-0.92173958,-0.387809421,1.147,23902.075,24023.176
306,0.046357616,0.984381951,-0.176045946,1.211,1761.082,1769.3113
307,0.033112583,0.964966028,-0.262374854,1.225,649.09,660.23193
308,0,-0.445154962,0.89545355,1.262,0,0
309,0.101545254,0.066306858,0.997799279,1.182,18071.063,18004.814
310,0,-0.445154962,0.89545355,1.231,0,0
311,0.068432671,-0.883877473,0.467718518,1.237,5785.771,5795.3438
312,0.125827815,-0.283633279,-0.958932825,1.198,34834.333,35162.094
313,0.046357616,-0.022096619,-0.99975584,1.184,1721.477,1736.6364
314,0,-0.445154962,0.89545355,1.245,0,0
315,0.033112583,0.862318872,-0.506365641,1.181,625.813,634.42883
316,0,-0.445154962,0.89545355,1.19,0,0
317,0.033112583,0.562428927,0.826845634,1.219,646.152,653.88995
318,0.068432671,-0.92173958,-0.387809421,1.135,5309.603,5307.8677
319,0.033112583,-0.283691091,0.958915723,1.185,628.093,639.61426
320,0.033112583,-0.883877473,0.467718518,1.216,644.504,663.6577
321,0.046357616,-0.730194157,0.683239704,1.188,1727.818,1743.2875
322,0,-0.445154962,0.89545355,1.155,0,0
323,0,-0.445154962,0.89545355,1.254,0,0
324,0,-0.445154962,0.89545355,1.16,0,0
325,0.068432671,0.325781306,0.945445155,1.208,5652.199,5648.857
326,0,-0.445154962,0.89545355,1.224,0,0
327,0.033112583,-0.92173958,-0.387809421,1.263,669.482,692.99713
328,0.158940397,-0.883877473,0.467718518,1.152,67519.494,67823.29
329,0.046357616,0.699250806,-0.71487643,1.142,1660.852,1672.6089
330,0.076600442,-0.445154962,0.89545355,1.234,8097.183,8107.8335
331,0,-0.445154962,0.89545355,1.203,0,0
332,0.033112583,-0.283691091,0.958915723,1.198,635.102,647.24567
333,0.033112583,-0.283691091,0.958915723,1.232,653.167,667.2051
334,0.125827815,-0.991198822,-0.132381629,1.162,33804.223,34068.027
335,0.033112583,0.996085171,0.088398712,1.206,639.398,648.3364
336,0.057395143,0.75966831,0.65031074,1.194,3294.762,3291.6194
337,0.022075055,-0.283691091,0.958915723,1.203,188.859,0
338,0,-0.445154962,0.89545355,1.211,0,0
339,0.068432671,-0.283691091,0.958915723,1.229,5748.161,5756.9263
340,0,-0.445154962,0.89545355,1.263,0,0
341,0.076600442,-0.445154962,0.89545355,1.188,7795.221,7788.727
342,0.068432671,-0.525347639,0.850887689,1.143,5346.937,5360.8315
343,0,-0.445154962,0.89545355,1.188,0,0
344,0.112582781,0.75966831,0.65031074,1.162,24208.103,24159.908
345,0.033112583,0.408082062,0.912945251,1.203,637.627,645.87195
346,0,-0.445154962,0.89545355,1.223,0,0
347,0.181015453,-0.883877473,0.467718518,1.174,101653.315,100975.9
348,0.112582781,-0.787695942,-0.616064204,1.148,23906.746,24059.545
349,0,-0.445154962,0.89545355,1.226,0,0
350,0.057395143,-0.991198822,-0.132381629,1.181,3260.73,3279.4658
351,0.022075055,0.699250806,-0.71487643,1.155,181.373,0
352,0.112582781,0.984381951,-0.176045946,1.182,24630.827,24644.77
353,0.057395143,-0.991198822,-0.132381629,1.226,3384.329,3401.506
354,0.033112583,0.814180971,0.580611184,1.246,660.372,669.4358
355,0.090507726,0.240988305,-0.97052802,1.155,12506.822,12468.923
356,0.068432671,0.903705112,-0.428155428,1.242,5812.184,5771.045
357,0.033112583,-0.92173958,-0.387809421,1.164,616.73,637.7476
358,0.076600442,0.584208817,-0.811603387,1.188,7795.221,7727.9507
359,0.057395143,-0.883877473,0.467718518,1.162,3206.761,3232.8174
360,0.068432671,-0.991198822,-0.132381629,1.156,5406.246,5411.0273
361,0.055187638,-0.283633279,-0.958932825,1.186,2911.069,2912.8914
362,0.101545254,-0.787695942,-0.616064204,1.144,17491.277,17555.234
363,0.090507726,0.814180971,0.580611184,1.211,13108.495,13047.485
364,0.022075055,0.862318872,-0.506365641,1.223,192.127,0
365,0.068432671,-0.991198822,-0.132381629,1.164,5446.679,5448.0786
366,0.112582781,0.325781306,0.945445155,1.227,25567.353,25505.902
367,0.057395143,-0.991198822,-0.132381629,1.16,3202.229,3222.514
368,0.068432671,-0.991198822,-0.132381629,1.136,5313.598,5318.4014
369,0.090507726,0.325781306,0.945445155,1.211,13105.666,13071.679
370,0.068432671,0.240988305,-0.97052802,1.118,5231.432,5198.2676
371,0.079470199,0.562428927,0.826845634,1.124,8236.127,8201.655
372,0.101545254,-0.787695942,-0.616064204,1.148,17553.692,17616.768
373,0.033112583,-0.283691091,0.958915723,1.17,620.38,630.809
